area,crm_cd,vict_age,vict_sex,vict_descent,premis_cd,month,day,temp,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,moonphase,conditions,sunset_time_difference,sunrise_time_difference,hour_crime_occ
9,624,34,F,H,108,7,7,22.9,61.2,0.0,16.8,262.3,1010.8,10.9,14.8,10,0.58,Clear,1,16,22
16,624,37,F,B,501,4,16,14.3,76.9,0.0,14.1,230.0,1018.5,45.8,15.6,9,0.88,Partially cloudy,2,11,18
14,624,44,M,W,101,9,19,21.0,69.0,0.0,13.9,241.6,1010.8,9.1,15.9,8,0.8,Clear,2,10,16
17,624,21,M,W,502,11,15,19.1,38.1,0.0,8.4,310.3,1018.1,0.1,15.6,6,0.02,Clear,6,4,10
21,624,42,M,H,501,7,4,19.3,71.9,0.0,11.0,218.7,1013.1,44.1,11.7,7,0.55,Partially cloudy,2,16,22
1,624,37,F,W,102,9,26,20.8,67.1,0.0,11.2,246.8,1015.2,0.7,14.8,5,0.41,Clear,14,2,4
10,624,35,M,H,501,8,14,24.3,56.6,0.0,14.2,246.6,1011.9,1.9,16.0,9,0.59,Clear,11,3,9
3,624,9,M,H,501,10,11,18.0,57.9,0.0,27.0,315.5,1007.4,62.4,14.4,5,0.19,Partially cloudy,3,9,16
8,624,64,M,H,101,9,23,23.1,60.4,0.0,17.3,238.9,1012.7,1.3,16.0,8,0.93,Clear,0,12,19
6,624,35,F,B,102,2,17,14.6,48.4,0.0,12.1,264.5,1023.0,0.2,16.0,7,0.54,Clear,7,4,11
19,624,34,M,H,108,6,20,23.4,49.0,0.0,13.5,254.1,1011.1,0.2,15.8,10,0.75,Clear,2,13,18
9,624,38,M,B,501,10,9,20.5,80.2,0.0,15.7,241.5,1016.0,54.1,11.5,7,0.5,Partially cloudy,4,16,22
10,624,41,M,H,501,11,28,15.2,75.6,0.0,11.8,176.8,1013.5,84.9,13.6,5,0.17,Partially cloudy,1,10,16
15,624,24,M,H,502,8,25,24.1,70.4,0.0,18.1,255.5,1009.2,6.5,14.1,9,0.25,Clear,18,5,1
8,624,33,F,W,203,3,20,14.0,81.0,0.769,22.9,219.4,1013.3,95.2,13.2,4,0.97,"Rain, Overcast",16,4,3
3,624,31,M,B,102,8,12,23.8,60.2,0.0,14.6,249.6,1012.6,2.1,16.0,9,0.52,Clear,9,4,10
15,624,58,F,H,501,12,1,16.1,34.7,0.0,6.3,347.8,1017.1,0.2,16.0,6,0.55,Clear,0,10,16
12,624,37,F,H,502,3,16,14.6,65.3,9.323,15.5,131.1,1015.8,67.4,14.3,3,0.75,"Rain, Partially cloudy",19,7,0
1,624,56,F,W,102,6,5,19.7,64.5,0.0,14.9,263.1,1010.0,93.6,16.0,5,0.5,Overcast,1,15,21
6,624,65,M,B,203,8,12,23.8,60.2,0.0,14.6,249.6,1012.6,2.1,16.0,9,0.52,Clear,7,7,13
11,624,58,M,W,501,2,2,16.9,51.6,0.0,10.4,324.2,1013.1,21.0,15.9,6,0.29,Partially cloudy,9,2,8
6,624,65,M,O,108,7,28,19.4,71.6,0.0,19.7,255.8,1011.7,21.2,13.4,10,0.29,Partially cloudy,4,9,16
9,624,53,F,H,108,1,6,12.2,75.4,0.0,7.8,316.9,1022.6,5.1,15.7,3,0.5,Clear,1,9,16
13,624,37,F,H,501,8,20,22.4,73.9,0.0,16.0,189.2,1010.4,30.1,16.0,9,0.79,Partially cloudy,1,14,20
5,624,62,M,H,501,4,6,15.0,72.8,27.105,13.4,211.4,1012.6,76.7,13.4,4,0.46,"Rain, Partially cloudy",19,6,0
17,624,27,M,B,501,10,16,19.1,77.2,0.0,8.8,257.2,1015.7,38.4,15.9,2,0.72,Partially cloudy,4,7,14
20,624,45,M,H,502,1,25,15.1,75.6,0.0,9.7,274.7,1017.2,43.8,4.8,6,0.03,Partially cloudy,16,5,2
19,624,97,F,H,501,12,17,12.9,32.2,0.0,7.3,15.1,1016.8,3.9,16.0,3,0.82,Clear,1,9,16
15,624,16,F,H,502,2,18,14.2,36.5,0.0,14.2,257.7,1024.8,0.3,16.0,7,0.23,Clear,9,2,8
12,624,62,F,B,502,9,9,25.8,58.4,0.0,18.1,251.8,1014.4,2.8,15.9,6,0.82,Clear,4,9,16
10,624,32,F,H,101,9,6,27.5,67.0,0.0,16.0,232.5,1009.4,6.8,16.0,8,0.37,Clear,6,7,14
19,624,35,M,H,101,9,8,28.5,54.8,0.0,12.0,264.0,1007.3,8.0,15.9,7,0.44,Clear,2,10,17
7,624,40,M,W,102,11,5,14.6,57.1,0.0,11.1,265.8,1017.2,2.6,16.0,6,0.4,Clear,1,9,17
12,624,52,M,A,203,7,16,23.4,69.1,0.0,14.2,214.7,1011.9,2.6,14.7,7,0.97,Clear,2,12,18
18,624,56,F,B,102,4,6,21.6,59.6,0.0,10.6,265.9,1014.0,0.6,14.4,9,0.18,Clear,3,10,16
12,624,63,F,B,501,7,1,22.3,68.5,0.0,26.5,253.7,1012.0,42.3,14.4,10,0.75,Partially cloudy,2,12,18
16,624,37,F,B,203,2,26,15.4,31.4,0.0,8.6,279.5,1015.2,0.9,15.9,8,0.48,Clear,5,6,13
13,624,50,F,W,101,8,4,22.2,72.2,0.0,11.6,250.5,1012.3,4.1,15.9,6,0.25,Clear,1,15,21
3,624,37,M,H,502,5,18,18.0,74.4,0.0,11.7,204.9,1012.4,70.2,12.5,6,0.97,Partially cloudy,3,11,16
4,624,47,M,H,501,10,2,27.1,46.3,0.0,17.5,269.2,1010.3,0.5,13.9,8,0.53,Clear,3,15,22
18,624,19,F,B,101,12,21,13.8,55.3,0.0,6.0,327.4,1019.3,2.5,15.2,4,0.59,Clear,3,7,14
20,624,33,F,H,502,2,13,13.2,69.9,0.0,9.2,130.1,1013.7,62.9,16.0,6,0.75,Partially cloudy,9,2,8
11,624,64,M,W,501,1,12,13.5,65.3,0.0,12.8,265.5,1018.1,17.2,14.7,5,0.57,Clear,6,17,0
1,624,77,F,W,502,9,11,26.2,69.8,0.218,15.0,242.9,1014.6,55.5,16.0,8,0.54,"Rain, Partially cloudy",12,1,7
5,624,24,M,H,108,5,1,20.6,61.7,0.0,17.4,247.6,1012.9,30.8,12.4,10,0.3,Partially cloudy,3,16,22
12,624,47,F,B,502,10,2,20.6,71.2,0.0,9.1,243.9,1013.3,49.1,16.0,8,0.25,Partially cloudy,18,6,0
11,624,24,M,H,501,9,10,26.5,54.8,0.0,22.2,225.9,1012.7,6.5,16.0,7,0.86,Clear,1,11,18
16,624,46,M,H,101,9,11,24.6,64.1,0.0,12.1,237.9,1012.5,4.7,15.6,7,0.89,Clear,18,5,2
6,624,33,M,W,501,12,6,14.0,42.3,0.0,11.5,281.1,1020.8,1.3,15.5,6,0.73,Clear,1,9,16
13,624,20,F,H,502,4,16,16.1,66.2,0.0,17.3,256.1,1013.7,41.3,14.2,10,0.16,Partially cloudy,15,2,5
3,624,72,F,B,502,7,2,20.2,75.5,0.0,20.4,236.4,1012.4,37.3,11.5,7,0.48,Partially cloudy,0,15,20
1,624,37,M,H,502,3,6,11.3,52.3,0.0,13.7,249.7,1021.9,1.0,16.0,8,0.13,Clear,2,10,16
9,624,35,M,H,501,7,31,23.1,59.7,0.14,16.6,275.5,1011.6,0.9,13.9,10,0.4,Rain,2,15,22
14,624,50,F,W,501,4,24,26.7,43.2,0.0,10.1,280.5,1011.7,0.5,13.1,10,0.06,Clear,11,2,8
5,624,28,F,H,502,7,14,20.4,71.1,0.0,14.5,246.5,1013.2,14.2,15.9,9,0.53,Clear,3,12,18
19,624,21,F,H,101,7,22,21.6,72.7,0.0,11.6,231.4,1011.1,24.0,14.8,6,0.8,Partially cloudy,3,11,17
5,624,12,F,B,501,3,28,13.7,79.0,25.862,17.0,136.8,1009.8,94.9,13.0,5,0.88,"Rain, Overcast",1,11,18
7,624,40,M,W,101,10,23,17.2,80.4,1.12,12.2,268.3,1012.1,85.9,12.4,5,0.6,"Rain, Partially cloudy",12,1,6
21,624,57,M,W,101,1,30,17.3,28.8,0.0,9.8,308.2,1018.6,1.8,16.0,5,0.19,Clear,2,12,19
1,624,24,M,H,101,4,19,20.3,49.3,0.0,13.2,261.3,1014.7,0.3,15.7,10,0.25,Clear,0,13,20
15,624,28,F,H,102,4,12,16.4,67.9,0.0,20.5,256.1,1009.8,98.8,14.9,9,0.02,Overcast,3,10,17
18,624,37,M,W,102,9,18,21.1,68.9,0.0,17.4,202.8,1009.1,59.3,15.9,8,0.77,Partially cloudy,2,10,16
20,624,24,F,H,102,1,17,19.9,31.3,0.0,8.0,256.4,1014.3,0.4,16.0,6,0.15,Clear,6,16,23
5,624,30,F,H,102,4,17,16.9,63.0,0.0,10.9,232.7,1014.4,51.9,11.5,8,0.82,Partially cloudy,1,14,20
12,624,34,F,B,101,1,31,12.1,66.0,0.0,8.5,43.8,1018.3,4.7,14.1,3,0.0,Clear,11,0,6
16,624,49,M,H,501,7,26,26.3,58.5,0.0,12.3,231.2,1012.8,5.4,15.2,7,0.3,Clear,19,5,1
13,624,49,M,H,203,1,31,12.5,47.9,0.0,10.9,349.5,1017.7,1.8,14.1,6,0.33,Clear,12,2,5
9,624,65,M,W,501,8,1,23.3,67.7,0.0,13.4,249.8,1015.1,14.3,16.0,8,0.14,Clear,2,12,18
20,624,34,M,H,502,10,14,19.2,82.1,0.0,5.3,205.7,1011.1,98.4,14.6,3,0.66,Overcast,8,3,10
14,624,12,F,H,108,12,7,15.1,74.1,0.316,10.1,69.5,1014.8,71.3,12.4,4,0.12,"Rain, Partially cloudy",1,9,15
12,624,17,F,B,101,3,7,14.6,67.7,0.0,11.7,224.2,1017.1,78.1,15.8,4,0.8,Partially cloudy,2,14,20
18,624,57,F,H,501,9,23,20.4,71.8,0.0,8.7,285.4,1012.3,3.0,15.5,7,0.59,Clear,13,1,6
1,624,55,F,B,101,1,10,13.3,61.2,0.0,10.0,315.6,1022.1,0.8,15.9,6,0.5,Clear,4,6,13
13,624,61,M,H,102,9,13,21.3,66.1,0.0,10.6,267.8,1011.6,2.7,6.0,7,0.88,Clear,9,3,10
15,624,29,F,B,108,6,21,20.0,68.0,0.0,13.6,257.9,1013.9,60.8,16.0,10,0.02,Partially cloudy,14,1,6
